PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA,HOF
Player 0072,5,305,1129,88,355,50,20,20,127,95,125,21,4,0.314,0
Player 0073,12,384,1501,98,304,38,7,38,116,154,250,13,3,0.203,0
Player 0074,4,388,1613,106,363,73,16,52,180,124,138,38,11,0.225,0
Player 0075,18,1026,4033,169,943,125,22,29,697,456,901,183,19,0.234,0
Player 0076,12,1524,6254,456,1674,222,62,271,952,369,1320,63,12,0.268,0
Player 0077,9,909,2468,103,634,132,32,52,413,139,404,129,41,0.257,0
Player 0078,6,756,2912,146,928,117,39,55,444,340,561,113,21,0.319,0
Player 0079,15,1605,5501,297,1669,362,59,98,1064,634,531,125,29,0.303,0
Player 0080,17,1377,4714,352,1354,291,86,90,997,348,1014,158,49,0.287,0
Player 0081,24,3264,13147,913,3616,495,207,287,1783,1077,2556,272,38,0.275,1
Player 0082,11,946,3927,227,1114,202,48,138,835,534,389,51,16,0.284,0
Player 0083,5,740,2736,161,656,86,44,93,397,162,648,61,11,0.24,0
Player 0084,21,3234,10740,562,3222,631,123,191,2092,714,897,84,20,0.3,0
Player 0085,16,1616,5293,310,1223,155,71,81,551,469,955,210,35,0.231,0
Player 0086,18,2016,6364,387,1904,444,46,294,1156,479,684,304,67,0.299,0
Player 0087,3,174,541,14,168,24,5,5,93,58,105,10,0,0.311,0
Player 0088,8,1040,3292,198,913,184,30,100,668,369,300,110,10,0.277,0
Player 0089,20,2240,5941,601,1567,212,32,184,1115,578,552,110,21,0.264,0
Player 0090,21,2982,7847,703,2228,323,94,264,1133,823,1213,94,16,0.284,0
Player 0091,11,649,2482,165,446,77,11,122,325,220,593,79,19,0.18,0
Player 0092,21,2667,8689,442,2437,460,121,314,1715,1029,1079,87,7,0.28,1
Player 0093,22,1892,7723,371,2054,492,52,414,1203,415,1374,270,33,0.266,1
Player 0094,10,490,1734,42,465,57,10,84,178,135,282,27,3,0.268,0
Player 0095,23,1081,2767,177,815,97,55,43,337,308,594,161,32,0.295,0
Player 0096,8,784,2169,144,579,93,29,37,220,172,273,56,8,0.267,0
Player 0097,6,396,1128,53,259,42,17,25,101,64,190,28,3,0.23,0
Player 0098,18,684,2844,59,753,170,31,69,557,230,660,94,22,0.265,0
Player 0099,16,1280,3675,296,1000,229,16,119,434,419,489,123,34,0.272,0
Player 0100,4,436,1472,76,403,90,18,24,252,89,221,19,5,0.274,0
Player 0101,21,1386,5670,237,1563,214,71,91,945,653,1259,214,33,0.276,0
Player 0102,5,745,3100,100,949,160,15,74,571,371,412,50,15,0.306,0
Player 0103,21,2646,7678,524,1781,373,111,296,770,822,1081,72,17,0.232,0
Player 0104,1,91,235,16,64,10,3,9,37,16,30,7,1,0.272,0
Player 0105,20,2920,8062,538,2540,506,142,433,1524,987,1689,314,43,0.315,1
Player 0106,20,1620,4224,336,884,131,37,63,511,292,966,184,26,0.209,0
Player 0107,20,860,2435,69,672,106,32,60,285,320,440,130,27,0.276,0
Player 0108,17,493,1709,137,426,95,12,90,272,194,307,50,7,0.249,0
Player 0109,12,1752,7097,167,1824,273,125,280,691,389,1010,84,22,0.257,0
Player 0110,18,2682,9154,480,2181,514,80,316,1279,1116,750,146,23,0.238,0
Player 0111,7,847,3018,106,796,124,19,96,417,288,325,22,2,0.264,0
Player 0112,20,760,2160,148,722,88,13,18,324,195,223,102,12,0.334,0
Player 0113,14,882,3405,124,768,115,38,169,516,299,335,24,2,0.226,0
Player 0114,12,360,1278,96,292,41,20,46,122,133,235,40,7,0.228,0
Player 0115,13,403,1599,67,358,64,23,53,258,184,162,44,3,0.224,0
Player 0116,15,840,3454,185,1141,152,61,110,803,451,323,120,27,0.33,0
Player 0117,1,99,306,13,77,15,5,7,38,22,43,2,0,0.252,0
Player 0118,4,132,350,11,94,21,5,6,44,37,41,5,1,0.269,0
Player 0119,7,1064,3068,179,785,128,26,131,317,342,317,175,58,0.256,0
Player 0120,3,252,817,49,193,27,9,24,138,90,84,27,8,0.236,0
Player 0121,11,649,2665,117,697,117,13,17,418,251,322,56,13,0.262,0
Player 0122,17,1564,4915,456,1749,374,47,122,634,418,815,214,41,0.356,0
Player 0123,17,2159,8226,508,2621,500,99,423,1453,975,1655,352,94,0.319,1
Player 0124,12,780,2666,233,640,84,16,63,245,205,577,42,13,0.24,0
Player 0125,22,682,1916,98,560,103,37,49,324,131,383,111,23,0.292,0
Player 0126,15,465,1416,117,341,60,23,51,188,140,255,13,1,0.241,0
Player 0127,2,270,974,54,202,32,7,43,77,72,219,47,13,0.207,0
Player 0128,20,780,2842,167,868,115,46,109,587,150,463,29,2,0.305,0
Player 0129,15,1605,5198,476,1614,383,60,246,734,284,942,88,25,0.311,0
Player 0130,16,1184,3420,265,1048,147,23,36,593,384,498,31,3,0.306,0
Player 0131,15,1890,7044,524,1786,255,59,360,1081,969,932,277,30,0.254,0
Player 0132,14,448,1248,107,329,45,9,62,241,113,166,79,22,0.264,0
Player 0133,3,423,1731,45,512,96,16,53,280,109,179,25,6,0.296,0
Player 0134,14,1610,4539,376,1287,222,34,164,922,561,941,105,24,0.284,0
Player 0135,20,1660,4452,309,1140,170,24,69,560,327,395,95,28,0.256,0
Player 0136,8,408,1365,115,291,49,7,37,201,190,256,14,4,0.213,0
Player 0137,16,2432,8228,626,2254,452,146,124,1001,828,1796,349,71,0.274,0
Player 0138,1,64,215,6,66,10,1,1,41,15,34,1,0,0.307,0
Player 0139,9,792,2567,86,585,134,19,138,225,242,234,138,24,0.228,0
Player 0140,11,836,3503,79,1024,160,45,62,762,280,520,140,17,0.292,0
Player 0141,25,1350,4491,254,1264,181,43,155,924,539,605,40,12,0.281,0
Player 0142,6,474,1570,46,465,109,20,31,245,93,373,47,9,0.296,0
Player 0143,7,308,990,73,297,64,5,23,166,125,188,55,17,0.3,0
Player 0144,11,275,718,55,176,28,8,17,103,85,140,42,4,0.245,0
Player 0145,25,1550,5437,409,1160,256,53,118,533,693,883,203,22,0.213,0
Player 0146,22,858,2477,121,622,113,32,91,385,323,479,11,0,0.251,0
Player 0147,1,78,279,15,84,13,3,14,52,19,54,1,0,0.301,0
Player 0148,6,822,2126,87,533,117,20,56,298,205,192,119,36,0.251,0
Player 0149,21,966,4026,265,989,207,33,216,404,509,465,71,13,0.246,0
Player 0150,2,50,164,5,33,5,0,6,23,13,13,6,0,0.201,0
Player 0151,22,858,3453,87,1144,220,48,122,453,191,557,116,20,0.331,0
Player 0152,8,728,2408,91,719,118,11,40,432,183,530,59,10,0.299,0
Player 0153,23,1380,3591,355,1066,128,35,29,417,257,637,47,11,0.297,0
Player 0154,8,704,2744,72,833,196,43,130,340,352,439,53,13,0.304,0
Player 0155,11,308,1109,66,321,59,6,37,114,101,253,48,5,0.289,0
Player 0156,17,1156,4426,282,1157,221,21,113,573,493,476,76,14,0.261,0
Player 0157,4,312,1007,76,266,51,13,45,161,137,92,6,1,0.264,0
Player 0158,14,1134,4064,138,1036,192,38,83,578,312,921,196,29,0.255,0
Player 0159,13,1248,4936,116,1787,276,105,218,1107,584,1107,156,29,0.362,0
Player 0160,20,2520,9003,450,2605,616,173,192,1615,468,1704,256,62,0.289,0
Player 0161,25,2125,6568,264,1666,324,112,335,676,389,783,320,60,0.254,0
Player 0162,17,2278,8260,532,2364,474,90,151,881,533,1942,182,16,0.286,0
Player 0163,11,1023,3725,162,873,152,25,44,523,290,754,181,25,0.234,0
Player 0164,11,638,2636,114,850,131,41,105,519,227,495,99,28,0.322,0
Player 0165,11,594,1859,62,458,58,22,24,262,172,215,34,5,0.246,0
Player 0166,21,1386,4466,283,1284,208,63,234,575,321,723,101,30,0.288,0
Player 0167,9,918,3562,110,1094,154,35,134,737,199,753,52,10,0.307,0
Player 0168,5,280,940,64,266,53,4,15,101,104,204,34,7,0.283,0
Player 0169,9,1287,4829,123,1319,297,35,74,795,251,820,152,43,0.273,0
Player 0170,1,87,285,25,77,12,1,14,30,35,46,8,1,0.27,0
Player 0171,3,411,1178,94,315,50,6,41,192,157,225,71,10,0.267,0
Player 0172,3,339,1276,40,318,63,20,63,164,145,209,30,3,0.249,0
Player 0173,20,1360,3703,113,941,129,14,38,599,383,543,194,50,0.254,0
Player 0174,19,1026,2911,157,936,216,45,149,347,317,272,125,25,0.322,0
Player 0175,18,2178,7765,247,2067,338,138,240,1182,844,777,213,63,0.266,0
Player 0176,12,804,3031,102,735,97,25,116,299,405,611,13,2,0.242,0
Player 0177,18,1026,4125,279,1039,146,45,97,647,564,346,124,23,0.252,0
Player 0178,5,725,2148,154,662,153,35,17,263,189,189,86,13,0.308,0
Player 0179,23,2001,5379,237,1579,236,51,284,599,567,1208,62,8,0.294,0
Player 0180,13,403,1662,81,481,95,19,90,305,203,320,58,17,0.289,0
Player 0181,24,2136,5900,291,1539,213,92,137,577,295,475,190,20,0.261,0
Player 0182,4,336,952,99,276,39,15,49,121,92,123,21,6,0.29,0
Player 0183,13,1781,5334,155,1320,297,78,71,897,580,1078,267,23,0.247,0
Player 0184,18,2106,7160,507,1868,257,129,91,1258,820,1051,143,31,0.261,0
Player 0185,13,637,2548,159,774,94,27,22,535,211,394,73,6,0.304,0
Player 0186,12,528,2002,50,601,108,33,49,288,153,307,60,17,0.3,0
Player 0187,5,515,1907,60,449,100,21,14,251,126,214,9,1,0.235,0
Player 0188,10,310,867,51,208,33,10,21,137,86,169,25,5,0.24,0
Player 0189,6,396,1230,107,336,45,18,14,136,163,118,18,5,0.273,0
Player 0190,8,336,1113,66,367,87,20,46,234,145,179,14,3,0.33,0
Player 0191,18,486,1336,108,271,54,17,62,105,110,143,58,7,0.203,0
Player 0192,16,2304,6830,581,1910,424,65,269,1366,500,597,27,7,0.28,0
Player 0193,16,576,1741,151,386,81,19,26,233,210,179,100,19,0.222,0
Player 0194,10,260,706,48,174,35,5,30,95,81,154,20,1,0.246,0
Player 0195,24,3504,12037,672,3096,514,147,210,1683,1149,1302,213,45,0.257,1
Player 0196,3,147,543,34,138,21,7,23,58,46,67,24,7,0.254,0
Player 0197,9,1179,3087,162,775,159,45,103,378,188,315,109,21,0.251,0
Player 0198,3,87,288,23,77,15,2,6,49,34,56,9,2,0.267,0
Player 0199,9,396,1516,33,380,88,16,13,215,160,229,50,13,0.251,0
Player 0200,25,975,3677,119,804,151,26,170,451,308,849,154,31,0.219,0
Player 0201,10,1160,4507,297,1339,208,32,234,573,598,839,37,6,0.297,0
Player 0202,23,2415,7877,373,2334,417,68,301,1461,861,1299,57,15,0.296,0
Player 0203,13,1118,4354,126,1304,252,84,231,660,581,805,200,35,0.299,0
Player 0204,18,1008,2932,122,633,108,20,151,267,271,253,11,1,0.216,0
Player 0205,12,432,1344,85,376,80,25,19,273,122,311,56,9,0.28,0
Player 0206,7,686,1920,182,563,107,15,79,311,257,447,78,24,0.293,0
Player 0207,20,1080,3558,103,832,100,45,79,466,485,441,112,17,0.234,0
Player 0208,25,2525,7995,218,2161,407,100,234,1604,1091,1443,362,51,0.27,0
Player 0209,7,798,2321,145,617,120,32,29,306,287,260,142,16,0.266,0
Player 0210,20,2700,10200,783,3411,783,171,548,2480,934,1709,48,4,0.334,1
Player 0211,7,623,1889,88,637,108,34,78,400,130,384,71,24,0.337,0
Player 0212,18,450,1333,130,282,53,18,24,170,112,307,59,13,0.212,0
Player 0213,20,1220,3321,335,1186,209,54,78,526,446,445,75,20,0.357,0
Player 0214,12,1620,5258,230,1251,229,23,137,463,434,1004,262,75,0.238,0
Player 0215,19,1786,5384,463,1638,209,48,228,860,635,1047,156,27,0.304,0
Player 0216,7,735,2298,169,698,158,37,117,247,305,265,27,7,0.304,0
Player 0217,2,168,487,32,114,26,4,10,43,66,87,26,8,0.234,0
Player 0218,3,138,524,23,150,27,6,14,88,70,96,23,6,0.286,0
Player 0219,12,1692,6905,438,1838,343,87,239,1175,690,1396,45,12,0.266,0
Player 0220,23,2875,9621,731,2784,353,100,237,1161,906,2308,396,77,0.289,0
Player 0221,4,616,2213,151,615,117,35,66,395,307,191,28,8,0.278,0
Player 0222,12,1632,6485,488,2022,346,110,66,1475,451,728,18,1,0.312,0
Player 0223,18,1116,4684,206,1277,261,69,62,826,313,483,60,16,0.273,0
Player 0224,6,348,1232,89,325,40,17,30,215,168,129,54,9,0.264,0
Player 0225,19,1083,4345,292,1339,274,85,220,843,486,663,36,8,0.308,0
Player 0226,8,1152,4659,145,1352,208,64,104,594,457,1027,37,11,0.29,0
Player 0227,21,2037,7833,181,2315,458,157,136,1144,484,1189,276,67,0.296,0
Player 0228,15,1260,4137,212,1020,199,21,174,744,397,773,99,8,0.247,0
Player 0229,14,2100,5539,563,1292,190,64,290,793,747,776,74,20,0.233,0
Player 0230,5,515,1301,73,325,56,17,36,216,135,170,25,8,0.25,0
Player 0231,12,1716,5682,401,1410,310,58,30,1039,491,1212,248,62,0.248,0
Player 0232,22,3366,11243,274,3344,644,103,443,1479,1119,2078,390,121,0.297,1
Player 0233,1,35,111,5,33,4,1,2,15,14,15,4,1,0.297,0
Player 0234,19,1349,4675,290,1236,214,43,180,751,617,1057,35,10,0.264,0
Player 0235,13,1560,5364,169,1716,270,111,101,617,461,856,137,23,0.32,0
Player 0236,18,2340,9178,648,2917,574,100,46,1687,961,1010,340,70,0.318,0
Player 0237,17,748,2008,85,559,108,13,44,376,150,315,41,12,0.278,0
Player 0238,11,726,2092,203,504,61,23,84,299,189,393,28,9,0.241,0
Player 0239,8,768,2955,98,960,185,35,72,449,206,409,57,6,0.325,0
Player 0240,16,2048,8071,611,2161,449,43,128,1382,789,1735,136,17,0.268,0
Player 0241,4,156,653,33,179,37,8,18,73,66,107,6,1,0.274,0
Player 0242,15,1545,6155,152,1588,201,70,262,1124,494,953,266,76,0.258,0
Player 0243,3,189,758,17,181,28,4,8,70,56,164,17,5,0.239,0
Player 0244,17,901,2733,86,597,101,28,108,415,173,421,102,24,0.218,0
Player 0245,16,1472,4685,308,1368,193,63,179,751,293,685,45,4,0.292,0
Player 0246,3,234,691,60,167,28,9,16,87,78,66,26,4,0.242,0
Player 0247,19,2033,7177,342,2655,341,92,384,1460,502,990,212,66,0.37,1
Player 0248,11,726,2973,129,689,92,19,147,296,180,426,122,21,0.232,0
Player 0249,20,2640,8146,553,1840,368,123,169,980,1139,887,211,22,0.226,0
Player 0250,2,70,241,13,69,10,3,1,47,17,41,10,1,0.286,0
Player 0251,5,685,2057,158,665,136,10,41,445,268,211,42,12,0.323,0
Player 0252,13,364,1015,66,276,34,16,15,114,106,117,39,8,0.272,0
Player 0253,5,600,1699,142,492,92,12,54,304,194,288,100,12,0.29,0
Player 0254,9,630,1637,188,336,56,19,83,232,164,201,73,12,0.205,0
Player 0255,17,1258,5175,197,1274,274,68,251,863,342,943,164,55,0.246,0
Player 0256,4,108,343,8,79,16,5,6,41,43,65,17,3,0.23,0
Player 0257,17,1972,7726,212,1573,259,107,204,580,962,990,329,65,0.204,0
Player 0258,3,138,504,27,138,26,4,3,99,41,47,6,0,0.274,0
Player 0259,5,550,1554,85,297,43,16,50,150,184,246,23,3,0.191,0
Player 0260,15,1785,4994,511,1117,211,36,40,552,493,473,184,55,0.224,0
Player 0261,20,2680,10399,584,2612,338,129,540,1707,1370,1689,480,140,0.251,1
Player 0262,5,585,1725,113,415,71,19,83,189,210,338,54,10,0.241,0
Player 0263,8,512,2074,130,588,83,10,32,402,111,371,33,10,0.284,0
Player 0264,24,2904,7951,397,2231,504,34,317,848,1026,1206,294,53,0.281,1
Player 0265,25,3300,12051,859,3630,629,65,402,2346,1653,2787,69,21,0.301,1
Player 0266,15,990,3845,79,1139,217,25,173,838,449,370,39,3,0.296,0
Player 0267,12,492,1426,106,441,71,12,41,330,86,314,17,2,0.309,0
Player 0268,9,1260,3741,359,1009,156,65,54,725,458,778,18,5,0.27,0
Player 0269,16,704,2914,178,817,117,35,107,570,315,428,93,30,0.28,0
Player 0270,15,1530,4513,409,1299,298,76,40,599,363,471,99,28,0.288,0
Player 0271,8,440,1421,73,390,84,23,48,287,184,149,17,4,0.274,0
Player 0272,1,41,132,10,33,4,1,2,23,13,30,3,0,0.25,0
Player 0273,4,500,1465,100,378,79,13,57,213,185,171,32,8,0.258,0
Player 0274,24,1032,3941,222,951,161,59,182,485,434,866,79,11,0.241,0
Player 0275,11,1232,4696,114,1337,162,74,49,526,356,753,78,16,0.285,0
Player 0276,13,1495,4698,185,1253,229,70,117,734,647,722,15,3,0.267,0
Player 0277,12,384,1505,77,371,50,23,62,233,152,269,48,11,0.247,0
Player 0278,20,940,2690,87,663,96,31,35,339,259,307,27,8,0.246,0
Player 0279,2,256,641,62,145,29,6,21,74,55,95,12,2,0.226,0
Player 0280,3,270,937,71,285,42,18,36,165,58,215,11,1,0.304,0
Player 0281,7,280,1173,79,319,72,12,26,115,131,138,18,2,0.272,0
Player 0282,13,1989,5103,203,1223,243,72,237,896,453,1160,74,22,0.24,0
Player 0283,17,1003,2862,287,853,187,15,87,397,383,684,69,5,0.298,0
Player 0284,13,325,1099,30,275,53,4,39,111,150,97,16,5,0.25,0
Player 0285,12,1740,6745,320,1489,333,65,81,524,803,1113,35,3,0.221,0
Player 0286,24,648,1718,171,525,85,10,10,363,123,184,102,18,0.306,0
Player 0287,5,480,1522,45,382,71,26,11,265,174,273,29,8,0.251,0
Player 0288,15,2310,8708,194,2226,404,34,437,863,451,2075,60,11,0.256,1
Player 0289,14,1400,4384,119,1189,271,64,215,488,545,979,138,41,0.271,0
Player 0290,12,1212,3419,233,1059,148,30,155,560,322,779,37,3,0.31,0
Player 0291,21,1575,4460,407,1207,228,82,66,512,599,509,222,48,0.271,0
Player 0292,7,287,917,31,209,44,7,28,134,77,152,5,1,0.228,0
Player 0293,24,2376,7876,255,2276,374,37,352,849,580,926,211,67,0.289,1
Player 0294,9,1269,5031,260,1272,285,20,194,724,702,1126,216,22,0.253,0
Player 0295,14,504,1810,66,608,100,27,19,305,176,200,18,3,0.336,0
Player 0296,14,1946,7148,468,1929,271,133,355,1033,912,747,86,22,0.27,0
Player 0297,22,1716,7157,495,1372,260,94,93,713,944,586,192,66,0.192,0
Player 0298,11,1034,3308,256,934,159,31,44,384,319,360,182,56,0.282,0
Player 0299,8,368,1172,100,396,48,16,58,173,106,129,27,8,0.338,0
Player 0300,1,105,427,20,138,17,2,12,51,42,39,12,2,0.323,0
Player 0301,10,480,1400,126,467,66,20,33,184,176,306,17,3,0.334,0
Player 0302,21,1260,4713,151,1104,234,52,154,818,644,965,149,46,0.234,0
Player 0303,1,118,446,11,134,30,3,24,61,35,53,6,1,0.3,0
Player 0304,23,713,1901,159,465,86,22,20,219,221,390,81,24,0.245,0
Player 0305,14,1162,3829,106,1063,141,68,164,426,289,564,29,8,0.278,0
Player 0306,4,408,1159,112,261,48,3,25,170,121,236,40,12,0.225,0
Player 0307,8,336,945,77,233,51,6,10,167,115,124,16,1,0.247,0
Player 0308,14,882,2900,255,714,149,18,75,475,376,493,111,17,0.246,0
Player 0309,8,552,1651,82,497,77,10,53,295,149,232,75,25,0.301,0
Player 0310,3,333,1283,62,382,51,9,19,257,106,141,51,11,0.298,0
Player 0311,17,2567,10378,624,2902,661,143,262,1484,755,1802,458,58,0.28,0
Player 0312,17,2261,8737,301,1946,432,40,321,1350,541,1748,199,42,0.223,0
Player 0313,3,147,433,29,112,14,6,14,74,35,86,18,4,0.259,0
Player 0314,8,216,640,48,156,34,9,26,54,82,87,2,0,0.244,0
Player 0315,7,217,636,64,191,25,12,29,104,55,103,35,10,0.3,0
Player 0316,17,1734,4733,422,1473,187,75,120,671,371,957,198,18,0.311,0
Player 0317,19,855,3509,90,1077,227,27,91,414,408,311,69,13,0.307,0
Player 0318,19,1045,3326,192,810,149,15,99,557,230,304,87,7,0.244,0
Player 0319,24,3240,9337,678,1680,285,46,311,593,682,1309,449,143,0.18,1
Player 0320,20,2760,10872,309,2263,517,153,113,1452,1459,1258,418,53,0.208,0
Player 0321,9,1206,3833,211,1225,270,83,79,912,219,536,177,44,0.32,0
Player 0322,3,171,437,24,111,14,3,5,60,38,41,16,3,0.254,0
Player 0323,16,1680,4662,178,1136,220,37,113,566,475,814,122,30,0.244,0
Player 0324,23,2392,8579,460,2809,597,120,460,1663,606,1608,408,94,0.327,1
Player 0325,25,1225,4692,142,1474,274,45,160,990,353,969,144,39,0.314,0
Player 0326,6,576,1646,120,445,105,30,43,198,115,303,58,14,0.27,0
Player 0327,6,558,2265,65,588,118,15,75,264,183,324,62,6,0.26,0
Player 0328,1,76,299,18,79,10,2,11,46,39,68,8,1,0.264,0
Player 0329,4,488,1923,60,534,76,20,51,387,170,377,64,14,0.278,0
Player 0330,14,1582,4567,438,1488,326,32,125,698,400,750,164,27,0.326,0
Player 0331,14,1316,3403,112,969,232,34,136,485,288,384,208,59,0.285,0
Player 0332,10,1190,4729,231,1396,183,86,38,1043,646,869,185,30,0.295,0
Player 0333,8,992,2995,149,931,122,21,95,391,181,523,84,25,0.311,0
Player 0334,21,2058,7310,266,1674,354,78,236,637,939,1384,79,9,0.229,0
Player 0335,12,708,2684,130,795,101,29,114,465,213,550,76,21,0.296,0
Player 0336,21,2583,7020,685,1823,233,44,380,655,955,1589,298,38,0.26,1
Player 0337,25,2950,11290,830,2054,465,32,505,867,884,2617,291,64,0.182,1
Player 0338,8,1216,4980,178,973,210,29,150,582,286,900,196,32,0.195,0
Player 0339,6,264,986,30,231,52,4,13,141,95,231,6,1,0.234,0
Player 0340,24,1896,6162,452,1778,352,63,212,985,434,1391,111,15,0.289,0
Player 0341,16,2320,9257,482,2536,402,151,432,1276,1090,744,364,107,0.274,1
Player 0342,8,728,2472,90,683,156,37,127,396,269,449,123,28,0.276,0
Player 0343,16,2352,8857,581,2996,466,201,409,1819,990,961,193,65,0.338,1
Player 0344,13,338,1316,65,296,45,11,19,198,88,167,14,3,0.225,0
Player 0345,23,667,2517,149,677,153,36,102,451,286,321,54,13,0.269,0
Player 0346,7,896,2678,142,751,151,38,131,462,208,421,78,23,0.28,0
